full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
huangserva/claude-code-cli,512,512,1226,1,1,2,https://github.com/huangserva/claude-code-cli
liuup/claude-code-analysis,917,917,915,6,6,4,https://github.com/liuup/claude-code-analysis
leaked-claude-code/leaked-claude-code,779,779,982,5,5,7,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26538,26538,10679,15,15,35,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3374,3374,444,1,1,0,https://github.com/1rgs/claude-code-proxy
sickn33/antigravity-awesome-skills,30760,30760,5137,39,39,6,https://github.com/sickn33/antigravity-awesome-skills
777genius/claude-code-source-code,871,871,1126,0,0,0,https://github.com/777genius/claude-code-source-code
anthropics/skills,110794,110794,12514,87,87,14,https://github.com/anthropics/skills
lintsinghua/claude-code-book,2054,2054,519,24,24,4,https://github.com/lintsinghua/claude-code-book
disler/claude-code-hooks-mastery,3471,3471,593,0,0,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3848,3848,361,1,1,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7350,7350,364,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2335,2335,400,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,187,187,281,1,1,0,https://github.com/zstmfhy/Claude-code
fuergaosi233/claude-code-proxy,2340,2340,330,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4126,4126,360,0,0,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2347,2347,314,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2919,2919,420,3,3,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1082,1082,426,6,6,3,https://github.com/lorryjovens-hub/claude-code-rust
Cranot/claude-code-guide,2567,2567,284,0,0,1,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,356,356,605,0,0,-1,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,783,783,598,1,1,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2288,2288,261,2,2,0,https://github.com/ding113/claude-code-hub
Windy3f3f3f3f/how-claude-code-works,1475,1475,441,7,7,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
fazxes/Claude-code,187,187,195,0,0,1,https://github.com/fazxes/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5519,5519,477,9,9,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
router-for-me/CLIProxyAPI,23180,23180,3879,28,28,7,https://github.com/router-for-me/CLIProxyAPI
Alishahryar1/free-claude-code,1602,1602,267,11,11,4,https://github.com/Alishahryar1/free-claude-code
https-deeplearning-ai/sc-claude-code-files,476,476,646,2,2,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,135720,135720,11372,165,165,21,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1382,1382,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,14424,14424,1470,7,7,0,https://github.com/snarktank/ralph
Pimzino/claude-code-spec-workflow,3617,3617,255,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
Kuberwastaken/claurst,8133,8133,7530,20,20,8,https://github.com/Kuberwastaken/claurst
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
wshobson/agents,32974,32974,3596,6,6,1,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,26407,26407,2469,1,1,1,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-plugins-official,16021,16021,1789,11,11,2,https://github.com/anthropics/claude-plugins-official
ghuntley/claude-code-source-code-deobfuscation,963,963,551,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
luyao618/Claude-Code-Source-Study,909,909,404,6,6,1,https://github.com/luyao618/Claude-Code-Source-Study
bfly123/claude_code_bridge,2083,2083,197,2,2,1,https://github.com/bfly123/claude_code_bridge
Yeachan-Heo/oh-my-claudecode,24173,24173,2201,84,84,8,https://github.com/Yeachan-Heo/oh-my-claudecode
repowise-dev/claude-code-prompts,750,750,298,13,13,6,https://github.com/repowise-dev/claude-code-prompts
andrew-kramer-inno/claude-code-source-build,538,538,487,1,1,3,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1751,1751,271,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1408,1408,210,1,1,0,https://github.com/feiskyer/claude-code-settings
alirezarezvani/claude-skills,9443,9443,1164,27,27,3,https://github.com/alirezarezvani/claude-skills
siteboon/claudecodeui,9480,9480,1249,6,6,0,https://github.com/siteboon/claudecodeui
sugyan/claude-code-webui,996,996,232,0,0,0,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2956,2956,561,3,3,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,394,394,333,8,8,6,https://github.com/AICoderTudou/claude-code-tudou
Hyper66666/claude-code-sourcemap,196,196,446,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
rohitg00/awesome-claude-code-toolkit,1077,1077,294,8,8,0,https://github.com/rohitg00/awesome-claude-code-toolkit
darcyegb/ClaudeCodeAgents,644,644,58,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,2155,2155,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1517,1517,241,0,0,0,https://github.com/lst97/claude-code-sub-agents
NanmiCoder/cc-haha,4990,4990,5544,26,26,19,https://github.com/NanmiCoder/cc-haha
slopus/happy,17235,17235,1388,11,11,0,https://github.com/slopus/happy
luongnv89/claude-howto,19767,19767,2362,181,181,18,https://github.com/luongnv89/claude-howto
