full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
bfly123/claude_code_bridge,2081,2081,196,3,3,0,https://github.com/bfly123/claude_code_bridge
Yeachan-Heo/oh-my-claudecode,24089,24089,2193,75,75,9,https://github.com/Yeachan-Heo/oh-my-claudecode
repowise-dev/claude-code-prompts,737,737,292,8,8,2,https://github.com/repowise-dev/claude-code-prompts
andrew-kramer-inno/claude-code-source-build,537,537,484,2,2,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1749,1749,270,3,3,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1407,1407,210,0,0,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9474,9474,1249,4,4,1,https://github.com/siteboon/claudecodeui
alirezarezvani/claude-skills,9416,9416,1161,22,22,3,https://github.com/alirezarezvani/claude-skills
sugyan/claude-code-webui,996,996,232,0,0,0,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2953,2953,560,3,3,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Hyper66666/claude-code-sourcemap,196,196,446,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,643,643,58,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,2154,2154,216,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1517,1517,241,0,0,0,https://github.com/lst97/claude-code-sub-agents
rohitg00/awesome-claude-code-toolkit,1069,1069,294,1,1,1,https://github.com/rohitg00/awesome-claude-code-toolkit
AICoderTudou/claude-code-tudou,386,386,327,4,4,4,https://github.com/AICoderTudou/claude-code-tudou
slopus/happy,17224,17224,1388,8,8,3,https://github.com/slopus/happy
NanmiCoder/cc-haha,4964,4964,5525,28,28,21,https://github.com/NanmiCoder/cc-haha
luongnv89/claude-howto,19586,19586,2344,213,213,17,https://github.com/luongnv89/claude-howto
